user id ,titulo ,comprar/juegar,1.0 si es comprar,
151603712,The Elder Scrolls V Skyrim,play,273.0,0
151603712,Fallout 4,purchase,1.0,0
151603712,Fallout 4,play,87.0,0
151603712,Spore,purchase,1.0,0
151603712,Spore,play,14.9,0
151603712,Fallout New Vegas,play,12.1,0
151603712,Left 4 Dead 2,purchase,1.0,0
151603712,Left 4 Dead 2,play,8.9,0
151603712,HuniePop,purchase,1.0,0
151603712,HuniePop,play,8.5,0
151603712,Path of Exile,purchase,1.0,0
151603712,Path of Exile,play,8.1,0
151603712,Poly Bridge,purchase,1.0,0
151603712,Poly Bridge,play,7.5,0
151603712,Left 4 Dead,purchase,1.0,0
151603712,Left 4 Dead,play,3.3,0
151603712,Team Fortress 2,purchase,1.0,0
151603712,Team Fortress 2,play,2.8,0
151603712,Tomb Raider,purchase,1.0,0
151603712,Tomb Raider,play,2.5,0
151603712,The Banner Saga,purchase,1.0,0
151603712,The Banner Saga,play,2.0,0
151603712,Dead Island Epidemic,purchase,1.0,0
151603712,Dead Island Epidemic,play,1.4,0
151603712,BioShock Infinite,purchase,1.0,0
151603712,BioShock Infinite,play,1.3,0
151603712,Dragon Age Origins - Ultimate Edition,purchase,1.0,0
151603712,Dragon Age Origins - Ultimate Edition,play,1.3,0
151603712,Fallout 3 - Game of the Year Edition,purchase,1.0,0
151603712,Fallout 3 - Game of the Year Edition,play,0.8,0
151603712,SEGA Genesis & Mega Drive Classics,purchase,1.0,0
151603712,SEGA Genesis & Mega Drive Classics,play,0.8,0
151603712,Grand Theft Auto IV,purchase,1.0,0
151603712,Grand Theft Auto IV,play,0.6,0
151603712,Realm of the Mad God,purchase,1.0,0
151603712,Realm of the Mad God,play,0.5,0
151603712,Marvel Heroes 2015,purchase,1.0,0
151603712,Marvel Heroes 2015,play,0.5,0
151603712,Eldevin,purchase,1.0,0
151603712,Eldevin,play,0.5,0
151603712,Dota 2,purchase,1.0,0
151603712,Dota 2,play,0.5,0
151603712,BioShock,purchase,1.0,0
151603712,BioShock,play,0.5,0
151603712,Robocraft,purchase,1.0,0
151603712,Robocraft,play,0.4,0
151603712,Garry's Mod,purchase,1.0,0
151603712,Garry's Mod,play,0.1,0
151603712,Jazzpunk,purchase,1.0,0
151603712,Jazzpunk,play,0.1,0
151603712,Alan Wake,purchase,1.0,0
151603712,BioShock 2,purchase,1.0,0
151603712,Fallen Earth,purchase,1.0,0
151603712,Fallout New Vegas Courier's Stash,purchase,1.0,0
151603712,Fallout New Vegas Dead Money,purchase,1.0,0
151603712,Fallout New Vegas Honest Hearts,purchase,1.0,0
151603712,Grand Theft Auto Episodes from Liberty City,purchase,1.0,0
151603712,Hitman Absolution,purchase,1.0,0
151603712,HuniePop Official Digital Art Collection,purchase,1.0,0
151603712,HuniePop Original Soundtrack,purchase,1.0,0
151603712,The Banner Saga - Mod Content,purchase,1.0,0
151603712,The Elder Scrolls V Skyrim - Dawnguard,purchase,1.0,0
151603712,The Elder Scrolls V Skyrim - Dragonborn,purchase,1.0,0
151603712,The Elder Scrolls V Skyrim - Hearthfire,purchase,1.0,0
187131847,Dota 2,purchase,1.0,0
187131847,Dota 2,play,2.3,0
59945701,Ultra Street Fighter IV,purchase,1.0,0
59945701,Ultra Street Fighter IV,play,238.0,0
59945701,FINAL FANTASY XIII,purchase,1.0,0
59945701,FINAL FANTASY XIII,play,84.0,0
59945701,The Elder Scrolls V Skyrim,purchase,1.0,0
59945701,The Elder Scrolls V Skyrim,play,58.0,0
59945701,Sid Meier's Civilization V,purchase,1.0,0
59945701,Sid Meier's Civilization V,play,22.0,0
59945701,L.A. Noire,purchase,1.0,0
59945701,L.A. Noire,play,13.8,0
59945701,Company of Heroes Tales of Valor,purchase,1.0,0
59945701,Company of Heroes Tales of Valor,play,10.2,0
59945701,7 Days to Die,purchase,1.0,0
59945701,7 Days to Die,play,7.8,0
59945701,Divekick,purchase,1.0,0
59945701,Divekick,play,7.0,0
59945701,FINAL FANTASY VII,purchase,1.0,0
59945701,FINAL FANTASY VII,play,5.2,0
59945701,Orcs Must Die! 2,purchase,1.0,0
59945701,Orcs Must Die! 2,play,4.8,0
59945701,Killing Floor,purchase,1.0,0
59945701,Killing Floor,play,3.4,0
59945701,Company of Heroes,purchase,1.0,0
59945701,Company of Heroes,play,3.2,0
59945701,Bastion,purchase,1.0,0
59945701,Bastion,play,2.8,0
59945701,Undertale,purchase,1.0,0
59945701,Undertale,play,2.6,0
59945701,Counter-Strike Global Offensive,purchase,1.0,0
59945701,Counter-Strike Global Offensive,play,2.3,0
59945701,Orcs Must Die!,purchase,1.0,0
59945701,Orcs Must Die!,play,0.7,0
59945701,THE KING OF FIGHTERS XIII STEAM EDITION,purchase,1.0,0
59945701,THE KING OF FIGHTERS XIII STEAM EDITION,play,0.6,0
59945701,GUILTY GEAR XX ACCENT CORE PLUS R,purchase,1.0,0
59945701,GUILTY GEAR XX ACCENT CORE PLUS R,play,0.5,0
59945701,Skullgirls,purchase,1.0,0
59945701,Skullgirls,play,0.4,0
59945701,Assassin's Creed II,purchase,1.0,0
59945701,Assassin's Creed II,play,0.3,0
59945701,Company of Heroes Opposing Fronts,purchase,1.0,0
59945701,Company of Heroes Opposing Fronts,play,0.1,0
59945701,Team Fortress 2,purchase,1.0,0
59945701,Team Fortress 2,play,0.1,0
59945701,Guilty Gear X2 #Reload,purchase,1.0,0
59945701,Left 4 Dead 2,purchase,1.0,0
59945701,Psychonauts,purchase,1.0,0
59945701,Cities in Motion 2,purchase,1.0,0
59945701,Company of Heroes (New Steam Version),purchase,1.0,0
59945701,Company of Heroes 2,purchase,1.0,0
59945701,Fallout New Vegas,purchase,1.0,0
59945701,Fallout New Vegas Courier's Stash,purchase,1.0,0
59945701,Fallout New Vegas Dead Money,purchase,1.0,0
59945701,Fallout New Vegas Honest Hearts,purchase,1.0,0
59945701,Garry's Mod,purchase,1.0,0
59945701,Killing Floor Mod Defence Alliance 2,purchase,1.0,0
59945701,Magicka,purchase,1.0,0
59945701,Magicka Vietnam,purchase,1.0,0
59945701,Natural Selection 2,purchase,1.0,0
59945701,Psychonauts Demo,purchase,1.0,0
59945701,Sanctum,purchase,1.0,0
59945701,Sanctum 2,purchase,1.0,0
59945701,Serious Sam 3 BFE,purchase,1.0,0
59945701,Skullgirls Endless Beta,purchase,1.0,0
59945701,Skyrim High Resolution Texture Pack,purchase,1.0,0
53875128,Grand Theft Auto V,purchase,1.0,0
53875128,Grand Theft Auto V,play,86.0,0
53875128,Insurgency,purchase,1.0,0
53875128,Insurgency,play,72.0,0
53875128,Left 4 Dead 2,purchase,1.0,0
53875128,Left 4 Dead 2,play,71.0,0
53875128,METAL GEAR SOLID V THE PHANTOM PAIN,purchase,1.0,0
53875128,METAL GEAR SOLID V THE PHANTOM PAIN,play,59.0,0
53875128,S.T.A.L.K.E.R. Shadow of Chernobyl,purchase,1.0,0
53875128,S.T.A.L.K.E.R. Shadow of Chernobyl,play,54.0,0
53875128,S.T.A.L.K.E.R. Call of Pripyat,purchase,1.0,0
53875128,S.T.A.L.K.E.R. Call of Pripyat,play,50.0,0
53875128,Saints Row The Third,purchase,1.0,0
53875128,Saints Row The Third,play,35.0,0
53875128,Far Cry 3,purchase,1.0,0
53875128,Far Cry 3,play,35.0,0
53875128,S.T.A.L.K.E.R. Clear Sky,purchase,1.0,0
53875128,S.T.A.L.K.E.R. Clear Sky,play,35.0,0
53875128,Rocket League,purchase,1.0,0
53875128,Rocket League,play,34.0,0
53875128,Assassin's Creed II,purchase,1.0,0
53875128,Assassin's Creed II,play,33.0,0
53875128,Far Cry 4,purchase,1.0,0
53875128,Far Cry 4,play,32.0,0
53875128,Prototype,purchase,1.0,0
53875128,Prototype,play,25.0,0
53875128,Space Pirates and Zombies,purchase,1.0,0
53875128,Space Pirates and Zombies,play,24.0,0
53875128,Dying Light,purchase,1.0,0
53875128,Dying Light,play,23.0,0
53875128,Just Cause 2,purchase,1.0,0
53875128,Just Cause 2,play,23.0,0
53875128,Mirror's Edge,purchase,1.0,0
53875128,Mirror's Edge,play,23.0,0
53875128,Mad Max,purchase,1.0,0
53875128,Mad Max,play,22.0,0
53875128,Portal 2,purchase,1.0,0
53875128,Portal 2,play,21.0,0
53875128,Deus Ex Human Revolution,purchase,1.0,0
53875128,Deus Ex Human Revolution,play,21.0,0
53875128,Middle-earth Shadow of Mordor,purchase,1.0,0
53875128,Middle-earth Shadow of Mordor,play,19.6,0
53875128,RUNNING WITH RIFLES,purchase,1.0,0
53875128,RUNNING WITH RIFLES,play,18.5,0
53875128,Deus Ex Human Revolution - Director's Cut,purchase,1.0,0
53875128,Deus Ex Human Revolution - Director's Cut,play,18.3,0
53875128,Batman Arkham City GOTY,purchase,1.0,0
53875128,Batman Arkham City GOTY,play,16.9,0
53875128,Tropico 4,purchase,1.0,0
53875128,Tropico 4,play,14.3,0
53875128,Cave Story+,purchase,1.0,0
53875128,Cave Story+,play,13.7,0
53875128,Dust An Elysian Tail,purchase,1.0,0
53875128,Dust An Elysian Tail,play,13.4,0
53875128,F.E.A.R.,purchase,1.0,0
53875128,F.E.A.R.,play,12.5,0
53875128,South Park The Stick of Truth,purchase,1.0,0
53875128,South Park The Stick of Truth,play,12.2,0
53875128,Sleeping Dogs,purchase,1.0,0
53875128,Sleeping Dogs,play,11.5,0
53875128,Watch_Dogs,purchase,1.0,0
53875128,Watch_Dogs,play,11.2,0
53875128,Saints Row IV,purchase,1.0,0
53875128,Saints Row IV,play,11.1,0
53875128,DayZ,purchase,1.0,0
53875128,DayZ,play,11.0,0
53875128,Half-Life 2,purchase,1.0,0
54324567,days gone,purchase,1.0,0
